package,version
gir1.2-ayatanaappindicator3-0.1,0.5.93-1build3
gir1.2-camel-1.2,3.52.3-0ubuntu1.2
gir1.2-caribou-1.0,0.4.21-9build1
gir1.2-cinnamondesktop-3.0,6.7.2
gir1.2-clutter-1.0,1.26.4+git2779b932+dfsg-7build3
gir1.2-clutter-gst-3.0,3.0.27-4build1
gir1.2-cmenu-3.0,6.6.0+zena
gir1.2-cogl-1.0,1.22.8-4ubuntu4
gir1.2-coglpango-1.0,1.22.8-4ubuntu4
gir1.2-cvc-1.0,6.7.2
gir1.2-dbusmenu-glib-0.4,18.10.20180917~bzr492+repack1-3.1ubuntu5
gir1.2-dee-1.0,1.2.7+17.10.20170616-7build5
gir1.2-ecal-2.0,3.52.3-0ubuntu1.2
gir1.2-edataserver-1.2,3.52.3-0ubuntu1.2
gir1.2-flatpak-1.0,1.14.6-1ubuntu0.1
gir1.2-freedesktop,1.80.1-1
gir1.2-gdesktopenums-3.0,46.1-0ubuntu1
gir1.2-gdkpixbuf-2.0,2.42.10+dfsg-3ubuntu3.3
gir1.2-gexiv2-0.10,0.14.2-2build3
gir1.2-girepository-2.0,1.80.1-1
gir1.2-gkbd-3.0,3.28.1-1build3
gir1.2-glib-2.0,2.80.0-6ubuntu3.8
gir1.2-gnomedesktop-3.0,44.0-5build2
gir1.2-graphene-1.0,1.10.8-3build2
gir1.2-gsound-1.0,1.0.3-3.2build2
gir1.2-gspell-1,1.12.2-1build4
gir1.2-gst-plugins-base-1.0,1.24.2-1ubuntu0.4
gir1.2-gstreamer-1.0,1.24.2-1ubuntu0.1
gir1.2-gtk-3.0,3.24.41-4ubuntu1.3
gir1.2-gtkclutter-1.0,1.8.4-4build5
gir1.2-gtksource-3.0,3.24.11-2build4
gir1.2-gtksource-4,4.8.4-5build4
gir1.2-gtop-2.0,2.41.3-1ubuntu0.24.04.1
gir1.2-gudev-1.0,1:238-5ubuntu1
gir1.2-handy-1,1.8.3-1build2
gir1.2-harfbuzz-0.0,8.3.0-2build2
gir1.2-ibus-1.0,1.5.29-2
gir1.2-ical-3.0,3.0.17-1.1build3
gir1.2-javascriptcoregtk-4.1,2.52.3-0ubuntu0.24.04.1
gir1.2-json-1.0,1.8.0-2build2
gir1.2-keybinder-3.0,0.3.2-1.1build2
gir1.2-meta-muffin-0.0,6.7.4
gir1.2-nemo-3.0,6.6.3+zena
gir1.2-nm-1.0,1.46.0-1ubuntu2.7
gir1.2-nma-1.0,1.10.6+mint1+wilma
gir1.2-notify-0.7,0.8.3-1build2
gir1.2-packagekitglib-1.0,1.2.8+mint3+wilma
gir1.2-pango-1.0,1.52.1+ds-1build1
gir1.2-peas-1.0,1.36.0-3build4
gir1.2-polkit-1.0,124-2ubuntu1.24.04.3
gir1.2-rb-3.0,3.4.7-2ubuntu6
gir1.2-secret-1,0.21.4-1build3
gir1.2-soup-2.4,2.74.3-6ubuntu1.7
gir1.2-soup-3.0,3.4.4-5ubuntu0.7
gir1.2-timezonemap-1.0,0.4.6-6ubuntu1
gir1.2-udisks-2.0,2.10.1-6ubuntu1.3
gir1.2-upowerglib-1.0,1.90.3-1
gir1.2-vte-2.91,0.76.0-1ubuntu0.1
gir1.2-webkit2-4.1,2.52.3-0ubuntu0.24.04.1
gir1.2-wnck-3.0,43.0-3build4
gir1.2-xapp-1.0,3.3.3
gir1.2-xkl-1.0,5.4-5build2
gir1.2-xmlb-2.0,0.3.24-1~ubuntu0.24.04.1
gir1.2-xreader,4.6.5+wilma
gir1.2-xviewer-3.0,3.4.16+zena
git,1:2.43.0-1ubuntu7.3
git-delta,0.16.5-5
gkbd-capplet,3.28.1-1build3
glib-networking,2.80.0-1build1
glib-networking,2.80.0-1build1
glib-networking-common,2.80.0-1build1
glib-networking-services,2.80.0-1build1
glslang-tools,15.1.0-2~ubuntu0.24.04.2
glslc,2023.8-1build1
gnome-accessibility-themes,3.28-2ubuntu5
gnome-calculator,1:41.1+mint1+wilma
gnome-desktop3-data,44.0-5build2
gnome-disk-utility,46.0-1ubuntu3
gnome-font-viewer,46.0-1build1
gnome-icon-theme,3.12.0-5
gnome-keyring,46.1-2ubuntu0.2
gnome-keyring-pkcs11,46.1-2ubuntu0.2
gnome-menus,3.36.0-1.1ubuntu3
gnome-online-accounts,3.50.4-0ubuntu2
gnome-online-accounts-gtk,3.50.10+zena
gnome-pkg-tools,0.22.9ubuntu1
gnome-power-manager,43.0-2build2
gnome-screenshot,41.0+mint2+wilma
gnome-session-bin,46.0-1ubuntu4
gnome-session-canberra,0.30-10ubuntu10
gnome-settings-daemon-common,46.0-1ubuntu1.24.04.1
gnome-system-monitor,46.0-1build1
gnome-themes-extra,3.28-2ubuntu5
gnome-themes-extra-data,3.28-2ubuntu5
gnupg2,2.4.4-2ubuntu17.4
gnupg,2.4.4-2ubuntu17.4
gnupg-utils,2.4.4-2ubuntu17.4
golang,2:1.22~2build1
google-android-cmdline-tools-13.0-installer,13.0+1710437545-3build2
google-chrome-stable,150.0.7871.128-1
gpg,2.4.4-2ubuntu17.4
gpg-agent,2.4.4-2ubuntu17.4
gpgconf,2.4.4-2ubuntu17.4
gpgsm,2.4.4-2ubuntu17.4
gpgv,2.4.4-2ubuntu17.4
gpick,0.2.6-1ubuntu2
graphviz,2.42.2-9ubuntu0.1
grep,3.11-4build1
grim,1.4.0+ds-2build2
groff-base,1.23.0-3build2
grub2-theme-mint-2k,1.2.3
grub-customizer,5.2.8-0ubuntu1~ppa1n
grub-efi,2.12-1ubuntu7.3
gsettings-desktop-schemas,46.1-0ubuntu1
gstreamer1.0-alsa,1.24.2-1ubuntu0.4
gstreamer1.0-clutter-3.0,3.0.27-4build1
gstreamer1.0-gl,1.24.2-1ubuntu0.4
gstreamer1.0-gtk3,1.24.2-1ubuntu1.4
gstreamer1.0-packagekit,1.2.8+mint3+wilma
gstreamer1.0-pipewire,1.2.4-1ppa1
gstreamer1.0-plugins-base,1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base,1.24.2-1ubuntu0.4
gstreamer1.0-plugins-base-apps,1.24.2-1ubuntu0.4
gstreamer1.0-plugins-good,1.24.2-1ubuntu1.4
gstreamer1.0-plugins-good,1.24.2-1ubuntu1.4
gstreamer1.0-tools,1.24.2-1ubuntu0.1
gstreamer1.0-x,1.24.2-1ubuntu0.4
gstreamer1.0-x,1.24.2-1ubuntu0.4
gtk2-engines-murrine,0.98.2-4
gtk2-engines-pixbuf,2.24.33-4ubuntu1.1
gtk-doc-tools,1.34.0-1
gtk-update-icon-cache,3.24.41-4ubuntu1.3
gucharmap,1:15.1.3-1build1
gufw,24.04.0-2
gvfs,1.54.4-0ubuntu1~24.04.2
gvfs-backends,1.54.4-0ubuntu1~24.04.2
gvfs-common,1.54.4-0ubuntu1~24.04.2
gvfs-daemons,1.54.4-0ubuntu1~24.04.2
gvfs-fuse,1.54.4-0ubuntu1~24.04.2
gvfs-libs,1.54.4-0ubuntu1~24.04.2
g++-x86-64-linux-gnu,4:13.2.0-7ubuntu1
gzip,1.12-1ubuntu3.2
hdparm,9.65+ds-1build1
heif-gdk-pixbuf,1.17.6-1ubuntu4.6
hfsprogs,540.1.linux3-5build3
hicolor-icon-theme,0.17-2
hollywood,1.21-1.1
hostname,3.23+nmu2ubuntu2
hplip,3.23.12+dfsg0-0ubuntu5.1
hplip-data,3.23.12+dfsg0-0ubuntu5.1
html2text,1.3.2a-28
humanity-icon-theme,0.6.16
hunspell-en-us,1:2020.12.07-2
hurl,6.0.0
hwdata,0.379-1
hyphen-en-us,2.8.8-7build3
hypridle,0.1.7-1ppa6
hyprland,0.55.4-1ppa2
hyprland-qt-support0,0.1.0-1ppa4
hyprlock,0.9.5-1ppa2
hyprpicker,0.4.7-1ppa1
hyprpolkitagent,0.1.3-1ppa2
i965-va-driver,2.4.1+dfsg1-1ubuntu0.2
i965-va-driver,2.4.1+dfsg1-1ubuntu0.2
ibus,1.5.29-2
ibus-gtk,1.5.29-2
ibus-gtk3,1.5.29-2
ibus-gtk4,1.5.29-2
id3,1.1.2-3build1
ideviceinstaller,1.1.1-1build4
ieee-data,20220827.1
ifuse,1.1.4~git20181007.3b00243-1ubuntu3
iio-sensor-proxy,3.5-1build2
im-config,0.57-2
inetutils-telnet,2:2.5-3ubuntu4.2
info,7.1-3build2
init,1.66ubuntu1
initramfs-tools,0.142ubuntu25.8
initramfs-tools-bin,0.142ubuntu25.8
initramfs-tools-core,0.142ubuntu25.8
init-system-helpers,1.66ubuntu1
inputattach,1:1.8.1-2build1
insomnia,10.3.0
install-info,7.1-3build2
intel-gpu-tools,1.28-1ubuntu2
intel-gsc,1.2.0-1~24.04~ppa1
intel-media-va-driver-non-free,26.2.2-1~24.04~ppa1
intel-media-va-driver-non-free,26.2.2-1~24.04~ppa1
intel-metrics-discovery,1.14.188-1~24.04~ppa1
intel-metrics-library,1.0.231-1~24.04~ppa1
intel-microcode,3.20260210.0ubuntu0.24.04.1
intel-ocloc,26.22.38646.6-1~24.04~ppa1
intel-oneapi-runtime-compilers,2026.1.0-235
intel-oneapi-runtime-dpcpp-cpp,2026.1.0-235
intel-oneapi-runtime-opencl,2026.1.0-235
intel-opencl-icd,26.22.38646.6-1~24.04~ppa1
inxi,3.3.34-1-1
ipp-usb,0.9.24-0ubuntu3.3
iproute2,6.1.0-1ubuntu6.4
iptables,1.8.10-3ubuntu2
iputils-ping,3:20240117-1ubuntu0.1
iputils-tracepath,3:20240117-1ubuntu0.1
isc-dhcp-client,4.4.3-P1-4ubuntu2
isc-dhcp-common,4.4.3-P1-4ubuntu2
iso-codes,4.16.0-1
iso-flag-png,1.0.4
iucode-tool,2.3.1-3build1
jfsutils,1.1.15-5build4
jq,1.7.1-3ubuntu0.24.04.2
kbd,2.6.4-2ubuntu2
kerneloops,0.12+git20140509-6ubuntu8
keyboard-configuration,1.226ubuntu1
keyboxd,2.4.4-2ubuntu17.4
keyutils,1.6.3-3build1
kitty,0.32.2-1ubuntu0.4
klibc-utils,2.0.13-4ubuntu0.2
kmod,31+20240202-2ubuntu7.2
kpartx,0.9.4-5ubuntu8.2
kpartx-boot,0.9.4-5ubuntu8.2
krb5-locales,1.20.1-6ubuntu2.6
language-pack-en,1:24.04+20260127
language-pack-en-base,1:24.04+20260127
language-pack-gnome-en,1:24.04+20260127
language-pack-gnome-en-base,1:24.04+20260127
laptop-detect,0.16
less,590-2ubuntu2.1
libaa1,1.4p5-51.1
libaa1,1.4p5-51.1
libabsl20220623t64,20220623.1-3.1ubuntu3.2
libabw-0.1-1,0.1.3-1build4
libaccountsservice0,23.13.9-2ubuntu6
libacl1,2.3.2-1build1.1
libadwaita-1-0,1.5.0-2mint3+zara
libaio1t64,0.3.113-6build1.1
libao4,1.2.2+20180113-1.1ubuntu4
libao-common,1.2.2+20180113-1.1ubuntu4
libaom3,3.8.2-2ubuntu0.1
libaom3,3.8.2-2ubuntu0.1
libapksig-java,31.0.2-1ubuntu1
libapparmor1,4.0.1really4.0.1-0ubuntu0.24.04.7
libapparmor1,4.0.1really4.0.1-0ubuntu0.24.04.7
libappstream5,1.0.2-1build6
libapt-pkg6.0t64,2.8.3
libaquamarine11,0.12.1-1ppa1
libarchive13t64,3.7.2-2ubuntu0.7
libarchive-tools,3.7.2-2ubuntu0.7
libargon2-1,0~20190702+dfsg-4build1
libasan8,16-20260315-1ubuntu1~24~ppa1
libasound2-data,1.2.11-1ubuntu0.3
libasound2-dev,1.2.11-1ubuntu0.3
libasound2t64,1.2.11-1ubuntu0.3
libasound2t64,1.2.11-1ubuntu0.3
libaspell15,0.60.8.1-1build1
libass9,1:0.17.1-2build1
libassuan0,2.5.6-1build1
libasyncns0,0.8-6build4
libasyncns0,0.8-6build4
libatasmart4,0.19-5build3
libatk1.0-0t64,2.52.0-1build1
libatk1.0-0t64,2.52.0-1build1
libatk-adaptor,2.52.0-1build1
libatk-bridge2.0-0t64,2.52.0-1build1
libatk-bridge2.0-0t64,2.52.0-1build1
libatkmm-1.6-1v5,2.28.4-1build4
libatm1t64,1:2.5.1-5.1build1
libatomic1,16-20260315-1ubuntu1~24~ppa1
libatomic1,16-20260315-1ubuntu1~24~ppa1
libatopology2t64,1.2.11-1ubuntu0.3
libatspi2.0-0t64,2.52.0-1build1
libatspi2.0-0t64,2.52.0-1build1
libattr1,1:2.5.2-1build1.1
libaudit1,1:3.1.2-2.1build1.1
libaudit-common,1:3.1.2-2.1build1.1
libauthen-sasl-perl,2.1700-1
libavahi-client3,0.8-13ubuntu6.2
libavahi-client3,0.8-13ubuntu6.2
libavahi-common3,0.8-13ubuntu6.2
libavahi-common3,0.8-13ubuntu6.2
libavahi-common-data,0.8-13ubuntu6.2
libavahi-common-data,0.8-13ubuntu6.2
libavahi-core7,0.8-13ubuntu6.2
libavahi-glib1,0.8-13ubuntu6.2
libavc1394-0,0.5.4-5build3
libavc1394-0,0.5.4-5build3
libavcodec-dev,7:6.1.1-3ubuntu5
libavdevice60,7:6.1.1-3ubuntu5
libavfilter9,7:6.1.1-3ubuntu5
libavformat60,7:6.1.1-3ubuntu5
libavformat-dev,7:6.1.1-3ubuntu5
libavutil58,7:6.1.1-3ubuntu5
libavutil-dev,7:6.1.1-3ubuntu5
libayatana-appindicator3-1,0.5.93-1build3
libayatana-ido3-0.4-0,0.10.1-1build2
libayatana-indicator3-7,0.9.4-1build1
libbabeltrace1,1.5.11-3build3
libbinutils,2.42-4ubuntu2.10
libblas3,3.12.0-3build1.1
libblkid1,2.39.3-9ubuntu6.5
libblkid1,2.39.3-9ubuntu6.5
libblockdev3,3.1.1-1ubuntu0.1
libblockdev-crypto3,3.1.1-1ubuntu0.1
libblockdev-fs3,3.1.1-1ubuntu0.1
libblockdev-loop3,3.1.1-1ubuntu0.1
libblockdev-mdraid3,3.1.1-1ubuntu0.1
libblockdev-nvme3,3.1.1-1ubuntu0.1
libblockdev-part3,3.1.1-1ubuntu0.1
libblockdev-swap3,3.1.1-1ubuntu0.1
libblockdev-utils3,3.1.1-1ubuntu0.1
libbluetooth3,5.72-0ubuntu5.5
libbluetooth-dev,5.72-0ubuntu5.5
libbluray2,1:1.3.4-1build1
libboost-iostreams1.83.0,1.83.0-2.1ubuntu3.2
libboost-locale1.83.0,1.83.0-2.1ubuntu3.2
libboost-thread1.83.0,1.83.0-2.1ubuntu3.2
libbpf1,1:1.3.0-2build2
libbpfcc,0.29.1+ds-1ubuntu7
libbrlapi0.8,6.6-4ubuntu5
libbrotli1,1.1.0-2build2
libbrotli1,1.1.0-2build2
libbs2b0,3.1.0+dfsg-7build1
libbsd0,0.12.1-1build1.1
libbsd0,0.12.1-1build1.1
libburn4t64,1.5.6-1.1build1
libbytesize1,2.10-1ubuntu2
libbytesize-common,2.10-1ubuntu2
libbz2-1.0,1.0.8-5.1build0.1
libbz2-1.0,1.0.8-5.1build0.1
libc6,2.39-0ubuntu8.7
libc6,2.39-0ubuntu8.7
libc6-dev,2.39-0ubuntu8.7
libc++abi-dev,1:18.0-59~exp2
libcaca0,0.99.beta20-4ubuntu0.2
libcaca0,0.99.beta20-4ubuntu0.2
libcairo2,1.18.0-3build1
libcairo2,1.18.0-3build1
libcairo2-dev,1.18.0-3build1
libcairo-5c-dev,1.21build1
libcairo-gobject2,1.18.0-3build1
libcairo-gobject2,1.18.0-3build1
libcairo-gobject-perl,1.005-4build3
libcairomm-1.0-1v5,1.14.5-1build1
libcairomm-1.16-1,1.18.0-1build1
libcairo-perl,1.109-4build1
libcairo-script-interpreter2,1.18.0-3build1
libcamel-1.2-64t64,3.52.3-0ubuntu1.2
libcanberra0t64,0.30-10ubuntu10
libcanberra-dev,0.30-10ubuntu10
libcanberra-gtk3-0t64,0.30-10ubuntu10
libcanberra-gtk3-module,0.30-10ubuntu10
libcanberra-pulse,0.30-10ubuntu10
libcap2,1:2.66-5ubuntu2.4
libcap2,1:2.66-5ubuntu2.4
libcap2-bin,1:2.66-5ubuntu2.4
libcap-ng0,0.8.4-2build2
libcaribou0,0.4.21-9build1
libcaribou-common,0.4.21-9build1
libc-bin,2.39-0ubuntu8.7
libcbor0.10,0.10.2-1.2ubuntu2
libcc1-0,16-20260315-1ubuntu1~24~ppa1
libc++-dev,1:18.0-59~exp2
libc-dev-bin,2.39-0ubuntu8.7
libcdio19t64,2.1.0-4.1ubuntu1.2
libcdio-cdda2t64,10.2+2.0.1-1.1build2
libcdio-paranoia2t64,10.2+2.0.1-1.1build2
libcdparanoia0,3.10.2+debian-14build3
libcdparanoia0,3.10.2+debian-14build3
libcdr-0.1-1,0.1.7-1build2
libcgi-fast-perl,1:2.17-1
libcgi-pm-perl,4.63-1
libchamplain-0.12-0,0.12.21-1build3
libchamplain-gtk-0.12-0,0.12.21-1build3
libchromaprint1,1.5.1-5
libcinnamon-control-center1,6.6.0+zena
libcinnamon-desktop4,6.7.2
